address,chain,symbol,target_percentage,entry_date_time,next_market_open,market_entry_date_time,vwap,post_cumulative_share_count,realized_profit,long_realized_profit,short_realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,ISRG,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,195.269781,0.5121120097942856,5.97128697553054,5.97128697553054,0.0,10000.0,100.0,0.0,-100.0,0.5121120097942856,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,CTAS,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,356.014708,0.28088727165732713,6.348950055175817,6.348950055175817,0.0,10000.0,100.0,0.0,-100.0,0.28088727165732713,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,CRWD,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,169.172529,0.5911125204021748,7.573813594759234,7.573813594759234,0.0,10000.0,100.0,0.0,-100.0,0.5911125204021748,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,MIME,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,CERN,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,MELI,0.01,2022-06-18 16:24:05,2022-06-21 13:30:00,2022-06-21 14:00:00,668.690981,0.14954590811207608,8.199853827548484,8.199853827548484,0.0,10000.0,100.0,0.0,-100.0,0.14954590811207608,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,CASI,-0.02,2022-06-18 17:30:45,2022-06-21 13:30:00,2022-06-21 14:00:00,3.244232,-61.64787228533595,0.0,0.0,0.0,10000.0,-200.0,0.0,200.0,-61.64787228533595,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,AVGR,-0.02,2022-06-18 17:30:45,2022-06-21 13:30:00,2022-06-21 14:00:00,1.491957,-134.05212080509023,0.0,0.0,0.0,10000.0,-200.0,0.0,200.0,-134.05212080509023,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,NH,-0.02,2022-06-18 17:30:45,2022-06-21 13:30:00,2022-06-21 14:00:00,0.521912,-383.20636429129814,0.0,0.0,0.0,10000.0,-200.0,0.0,200.0,-383.20636429129814,0.0,0
0xa3893F84cb02cD9aD96A5B689f43F731E81416a9,MATIC,ECOR,-0.02,2022-06-18 17:30:45,2022-06-21 13:30:00,2022-06-21 14:00:00,0.591687,-338.0165526705843,0.0,0.0,0.0,10000.0,-200.0,0.0,200.0,-338.0165526705843,0.0,0
