,timestamp,symbol,vwap,delayed_trade_date
23,2022-08-10 13:00:00,GHSI,0.147099,2022-08-10 00:00:00
43,2022-08-10 13:00:00,MGTA,1.595829,2022-08-10 00:00:00
42,2022-08-10 13:00:00,CAR,190.281177,2022-08-10 00:00:00
41,2022-08-10 13:00:00,GOCO,0.616681,2022-08-10 00:00:00
40,2022-08-10 13:00:00,SAL,23.382917,2022-08-10 00:00:00
39,2022-08-10 13:00:00,ONVO,3.307093,2022-08-10 00:00:00
38,2022-08-10 13:00:00,UUP,28.126575,2022-08-10 00:00:00
37,2022-08-10 13:00:00,AXLA,2.263194,2022-08-10 00:00:00
36,2022-08-10 13:00:00,PRAX,4.28678,2022-08-10 00:00:00
35,2022-08-10 13:00:00,ENDP,0.397313,2022-08-10 00:00:00
44,2022-08-10 13:00:00,ROKU,79.757975,2022-08-10 00:00:00
33,2022-08-10 13:00:00,CORN,25.108058,2022-08-10 00:00:00
32,2022-08-10 13:00:00,UUUU,6.941019,2022-08-10 00:00:00
31,2022-08-10 13:00:00,REFR,1.944132,2022-08-10 00:00:00
30,2022-08-10 13:00:00,PUBM,22.40456,2022-08-10 00:00:00
29,2022-08-10 13:00:00,AAPL,168.015202,2022-08-10 00:00:00
28,2022-08-10 13:00:00,RUBY,0.795502,2022-08-10 00:00:00
27,2022-08-10 13:00:00,F,15.413587,2022-08-10 00:00:00
26,2022-08-10 13:00:00,TNXP,1.408905,2022-08-10 00:00:00
25,2022-08-10 13:00:00,MSFT,288.256521,2022-08-10 00:00:00
34,2022-08-10 13:00:00,LOGC,0.625844,2022-08-10 00:00:00
155,2022-08-10 14:00:00,CAPR,4.525725,2022-08-10 00:00:00
156,2022-08-10 14:00:00,NFLX,239.942704,2022-08-10 00:00:00
157,2022-08-10 14:00:00,EIGR,8.994282,2022-08-10 00:00:00
162,2022-08-10 14:00:00,LTRPB,25.797718,2022-08-10 00:00:00
159,2022-08-10 14:00:00,ALNA,0.126772,2022-08-10 00:00:00
160,2022-08-10 14:00:00,STIM,4.398699,2022-08-10 00:00:00
161,2022-08-10 14:00:00,OPEN,5.88497,2022-08-10 00:00:00
143,2022-08-10 14:00:00,AAP,195.545164,2022-08-10 00:00:00
158,2022-08-10 14:00:00,EHTH,7.637192,2022-08-10 00:00:00
154,2022-08-10 14:00:00,MELI,1052.5335,2022-08-10 00:00:00
149,2022-08-10 14:00:00,INTU,477.907845,2022-08-10 00:00:00
152,2022-08-10 14:00:00,LWAY,5.7245,2022-08-10 00:00:00
151,2022-08-10 14:00:00,BTCUSD,0.0,2022-08-10 00:00:00
150,2022-08-10 14:00:00,META,177.412328,2022-08-10 00:00:00
148,2022-08-10 14:00:00,CFRX,0.28117,2022-08-10 00:00:00
147,2022-08-10 14:00:00,UPST,29.078582,2022-08-10 00:00:00
146,2022-08-10 14:00:00,OKTA,107.088046,2022-08-10 00:00:00
145,2022-08-10 14:00:00,CDK,0.0,2022-08-10 00:00:00
144,2022-08-10 14:00:00,MBCN,27.601114,2022-08-10 00:00:00
164,2022-08-10 14:00:00,OILK,47.081473,2022-08-10 00:00:00
153,2022-08-10 14:00:00,EYES,1.994601,2022-08-10 00:00:00
165,2022-08-10 14:00:00,PLRX,21.098799,2022-08-10 00:00:00
176,2022-08-10 14:00:00,HYRE,0.94013,2022-08-10 00:00:00
167,2022-08-10 14:00:00,GNLN,3.117611,2022-08-10 00:00:00
